web-scraper-order,web-scraper-start-url,category-link,category-link-href,sub-category,sub-category-href,product-links,product-links-href,brand,concealer-category,concealer-category-href,name,next-page,next-page-href,reviews-text,top-positive-review,stars,review-keyword,top-negative-review
"1588348004-5043","https://www.ulta.com/?cmpid=PS_Brand!google!Brand&CAWELAID=1831598544&CATRK=SPFID-1&CAAGID=540267060&CATCI=kwd-12627301&CAPCID=378070056430&CADevice=c&gclid=EAIaIQobChMIzc2WxeSR6QIVBO21Ch3oTAwiEAAYASAAEgLqovD_BwE","Makeup","https://www.ulta.com/makeup?N=26y1","Face","https://www.ulta.com/makeup-face?N=26y3","White Lucent OnMakeup Spot Correcting Serum Broad Spectrum SPF 25","https://www.ulta.com/white-lucent-onmakeup-spot-correcting-serum-broad-spectrum-spf-25?productId=xlsImpprod15641124","Shiseido","Concealer (151)","https://www.ulta.com/makeup-face-concealer?N=26y6","White Lucent OnMakeup Spot Correcting Serum Broad Spectrum SPF 25","Next
Page","https://www.ulta.com/makeup-face-concealer?N=26y6&No=96&Nrpp=96","I've been using it for months and very happy with quality as a concealer, Hoping for a foundation in this collection!","","5","Good quality as a concealer",""
"1588348780-5960","https://www.ulta.com/?cmpid=PS_Brand!google!Brand&CAWELAID=1831598544&CATRK=SPFID-1&CAAGID=540267060&CATCI=kwd-12627301&CAPCID=378070056430&CADevice=c&gclid=EAIaIQobChMIzc2WxeSR6QIVBO21Ch3oTAwiEAAYASAAEgLqovD_BwE","Makeup","https://www.ulta.com/makeup?N=26y1","Face","https://www.ulta.com/makeup-face?N=26y3","Quick Fix Concealer Stick","https://www.ulta.com/quick-fix-concealer-stick?productId=xlsImpprod1810223","Dermablend","Concealer (151)","https://www.ulta.com/makeup-face-concealer?N=26y6","Quick Fix Concealer Stick","","","Very good","","5","The best concelar, I ever used, very concentrated.",""
"1588348451-5547","https://www.ulta.com/?cmpid=PS_Brand!google!Brand&CAWELAID=1831598544&CATRK=SPFID-1&CAAGID=540267060&CATCI=kwd-12627301&CAPCID=378070056430&CADevice=c&gclid=EAIaIQobChMIzc2WxeSR6QIVBO21Ch3oTAwiEAAYASAAEgLqovD_BwE","Makeup","https://www.ulta.com/makeup?N=26y1","Face","https://www.ulta.com/makeup-face?N=26y3","Bio Correct Multi-Action Concealer","https://www.ulta.com/bio-correct-multi-action-concealer?productId=pimprod2008578","W3LL PEOPLE","Concealer (151)","https://www.ulta.com/makeup-face-concealer?N=26y6","Bio Correct Multi-Action Concealer","","","only need a small amount. It blends easily and stays put, doesn't look crepey  under the eyes on my 57 yo skin. Non-irritating on my sensitive skin.","","4","Great Concealer",""
"1588347944-5000","https://www.ulta.com/?cmpid=PS_Brand!google!Brand&CAWELAID=1831598544&CATRK=SPFID-1&CAAGID=540267060&CATCI=kwd-12627301&CAPCID=378070056430&CADevice=c&gclid=EAIaIQobChMIzc2WxeSR6QIVBO21Ch3oTAwiEAAYASAAEgLqovD_BwE","Makeup","https://www.ulta.com/makeup?N=26y1","Face","https://www.ulta.com/makeup-face?N=26y3","Outlast All-Day Soft Touch Concealer","https://www.ulta.com/outlast-all-day-soft-touch-concealer?productId=xlsImpprod15091011","CoverGirl","Concealer (151)","https://www.ulta.com/makeup-face-concealer?N=26y6","Outlast All-Day Soft Touch Concealer","Next
Page","https://www.ulta.com/makeup-face-concealer?N=26y6&No=96&Nrpp=96","It was overall good but my light skin friends said it is bad because the lightest is for me and I am pretty tan and my darker skin people can even try it  they would look like flashback Mary the darkest u hav did light/medium really I thought the application is great but more colors plzzz","","3","Ok for medium skin",""
"1588348169-5208","https://www.ulta.com/?cmpid=PS_Brand!google!Brand&CAWELAID=1831598544&CATRK=SPFID-1&CAAGID=540267060&CATCI=kwd-12627301&CAPCID=378070056430&CADevice=c&gclid=EAIaIQobChMIzc2WxeSR6QIVBO21Ch3oTAwiEAAYASAAEgLqovD_BwE","Makeup","https://www.ulta.com/makeup?N=26y1","Face","https://www.ulta.com/makeup-face?N=26y3","PRO Soft Focus Longwear Concealer","https://www.ulta.com/pro-soft-focus-longwear-concealer?productId=pimprod2013332","LORAC","Concealer (151)","https://www.ulta.com/makeup-face-concealer?N=26y6","PRO Soft Focus Longwear Concealer","Next
Page","https://www.ulta.com/makeup-face-concealer?N=26y6&No=96&Nrpp=96","This I will buy again as I have no issues with the ware or no allergic reaction with it.","","5","It covers very well and the ware is lite.",""
"1588348252-5289","https://www.ulta.com/?cmpid=PS_Brand!google!Brand&CAWELAID=1831598544&CATRK=SPFID-1&CAAGID=540267060&CATCI=kwd-12627301&CAPCID=378070056430&CADevice=c&gclid=EAIaIQobChMIzc2WxeSR6QIVBO21Ch3oTAwiEAAYASAAEgLqovD_BwE","Makeup","https://www.ulta.com/makeup?N=26y1","Face","https://www.ulta.com/makeup-face?N=26y3","Ultimate Coverage Crease Proof Concealer","https://www.ulta.com/ultimate-coverage-crease-proof-concealer?productId=pimprod2007569","Revolution PRO","Concealer (151)","https://www.ulta.com/makeup-face-concealer?N=26y6","Ultimate Coverage Crease Proof Concealer","Next
Page","https://www.ulta.com/makeup-face-concealer?N=26y6&No=96&Nrpp=96","You have to apply this to moisturized skin because it has the consistency of honey, but it works. I even use it over makeup just to blend it more easily since I bought a very light shade of this concealer.","","5","Amazing stuff",""
"1588348097-5116","https://www.ulta.com/?cmpid=PS_Brand!google!Brand&CAWELAID=1831598544&CATRK=SPFID-1&CAAGID=540267060&CATCI=kwd-12627301&CAPCID=378070056430&CADevice=c&gclid=EAIaIQobChMIzc2WxeSR6QIVBO21Ch3oTAwiEAAYASAAEgLqovD_BwE","Makeup","https://www.ulta.com/makeup?N=26y1","Face","https://www.ulta.com/makeup-face?N=26y3","All + Nothing / Concealer","https://www.ulta.com/all-nothing-concealer?productId=pimprod2002578","PYT Beauty","Concealer (151)","https://www.ulta.com/makeup-face-concealer?N=26y6","All + Nothing / Concealer","Next
Page","https://www.ulta.com/makeup-face-concealer?N=26y6&No=96&Nrpp=96","I tried this company because of the sale they were having and they jad great reviews. When I received the products one of the colors I did not match well with my complexion.  I sent an email to customer service, 10 mins later I had a responds and was told they would mail me out the correct color. I received my package in 2 days. I thank you very much for your great service, excellent product. You can count on my continued support.","","4","Excellent",""
"1588348376-5450","https://www.ulta.com/?cmpid=PS_Brand!google!Brand&CAWELAID=1831598544&CATRK=SPFID-1&CAAGID=540267060&CATCI=kwd-12627301&CAPCID=378070056430&CADevice=c&gclid=EAIaIQobChMIzc2WxeSR6QIVBO21Ch3oTAwiEAAYASAAEgLqovD_BwE","Makeup","https://www.ulta.com/makeup?N=26y1","Face","https://www.ulta.com/makeup-face?N=26y3","Conceal & Fix Ultimate Coverage Concealer","https://www.ulta.com/conceal-fix-ultimate-coverage-concealer?productId=pimprod2013067","Makeup Revolution","Concealer (151)","https://www.ulta.com/makeup-face-concealer?N=26y6","Conceal & Fix Ultimate Coverage Concealer","","","This concealer is creamy and is easily applied.  It doesn't cake and stays on all day.  Easy to recommend.","","5","I love this product!",""
"1588349031-6300","https://www.ulta.com/?cmpid=PS_Brand!google!Brand&CAWELAID=1831598544&CATRK=SPFID-1&CAAGID=540267060&CATCI=kwd-12627301&CAPCID=378070056430&CADevice=c&gclid=EAIaIQobChMIzc2WxeSR6QIVBO21Ch3oTAwiEAAYASAAEgLqovD_BwE","Makeup","https://www.ulta.com/makeup?N=26y1","Face","https://www.ulta.com/makeup-face?N=26y3","Studio Fix 24-Hour Smooth Wear Concealer","https://www.ulta.com/studio-fix-24-hour-smooth-wear-concealer?productId=xlsImpprod19111013","MAC","Concealer (151)","https://www.ulta.com/makeup-face-concealer?N=26y6","Studio Fix 24-Hour Smooth Wear Concealer","","","","","","","Biggest Disappointment"
"1588349212-6322","https://www.ulta.com/?cmpid=PS_Brand!google!Brand&CAWELAID=1831598544&CATRK=SPFID-1&CAAGID=540267060&CATCI=kwd-12627301&CAPCID=378070056430&CADevice=c&gclid=EAIaIQobChMIzc2WxeSR6QIVBO21Ch3oTAwiEAAYASAAEgLqovD_BwE","Makeup","https://www.ulta.com/makeup?N=26y1","Face","https://www.ulta.com/makeup-face?N=26y3","Born to Glow Radiant Concealer","https://www.ulta.com/born-glow-radiant-concealer?productId=pimprod2012326","NYX Professional Makeup","Concealer (151)","https://www.ulta.com/makeup-face-concealer?N=26y6","Born to Glow Radiant Concealer","","","It covers so well and worked so much better then I thought it would. I am definitely going to bye again whenever I run out! Definitely recommend trying","","5","I love it!",""
"1588349583-6746","https://www.ulta.com/?cmpid=PS_Brand!google!Brand&CAWELAID=1831598544&CATRK=SPFID-1&CAAGID=540267060&CATCI=kwd-12627301&CAPCID=378070056430&CADevice=c&gclid=EAIaIQobChMIzc2WxeSR6QIVBO21Ch3oTAwiEAAYASAAEgLqovD_BwE","Makeup","https://www.ulta.com/makeup?N=26y1","Face","https://www.ulta.com/makeup-face?N=26y3","Shape Tape Concealer","https://www.ulta.com/shape-tape-concealer?productId=xlsImpprod14251035","Tarte","Concealer (151)","https://www.ulta.com/makeup-face-concealer?N=26y6","Shape Tape Concealer","","","","Hands Down - BEST CONCEALER I HAVE EVER USED","","",""
"1588348284-5329","https://www.ulta.com/?cmpid=PS_Brand!google!Brand&CAWELAID=1831598544&CATRK=SPFID-1&CAAGID=540267060&CATCI=kwd-12627301&CAPCID=378070056430&CADevice=c&gclid=EAIaIQobChMIzc2WxeSR6QIVBO21Ch3oTAwiEAAYASAAEgLqovD_BwE","Makeup","https://www.ulta.com/makeup?N=26y1","Face","https://www.ulta.com/makeup-face?N=26y3","ColorStay Concealer","https://www.ulta.com/colorstay-concealer?productId=xlsImpprod4960009","Revlon","Concealer (151)","https://www.ulta.com/makeup-face-concealer?N=26y6","ColorStay Concealer","Next
Page","https://www.ulta.com/makeup-face-concealer?N=26y6&No=96&Nrpp=96","This covers dark circles without emphazing fine lines. I tried both high-end & drugstore brands. I do like the new black label Colorstay but hated the older version.","","4","Better than some high-end concealers",""
"1588349370-6466","https://www.ulta.com/?cmpid=PS_Brand!google!Brand&CAWELAID=1831598544&CATRK=SPFID-1&CAAGID=540267060&CATCI=kwd-12627301&CAPCID=378070056430&CADevice=c&gclid=EAIaIQobChMIzc2WxeSR6QIVBO21Ch3oTAwiEAAYASAAEgLqovD_BwE","Makeup","https://www.ulta.com/makeup?N=26y1","Face","https://www.ulta.com/makeup-face?N=26y3","Fit Me Concealer","https://www.ulta.com/fit-me-concealer?productId=xlsImpprod2980149","Maybelline","Concealer (151)","https://www.ulta.com/makeup-face-concealer?N=26y6","Fit Me Concealer","","","","good sometimes/great all the time","","",""
"1588348076-5104","https://www.ulta.com/?cmpid=PS_Brand!google!Brand&CAWELAID=1831598544&CATRK=SPFID-1&CAAGID=540267060&CATCI=kwd-12627301&CAPCID=378070056430&CADevice=c&gclid=EAIaIQobChMIzc2WxeSR6QIVBO21Ch3oTAwiEAAYASAAEgLqovD_BwE","Makeup","https://www.ulta.com/makeup?N=26y1","Face","https://www.ulta.com/makeup-face?N=26y3","Colour Clique Colour Correcting Palette","https://www.ulta.com/colour-clique-colour-correcting-palette?productId=xlsImpprod16241034","Lottie London","Concealer (151)","https://www.ulta.com/makeup-face-concealer?N=26y6","Colour Clique Colour Correcting Palette","Next
Page","https://www.ulta.com/makeup-face-concealer?N=26y6&No=96&Nrpp=96","","I saw this online and was not sure how good it would be since it's a brand new product. I decided to go ahead and purchase one. I have to say that I am very excited about this new color corrector. The under eye Circle Darkness disappeared using the burnt orange color. It covered beautifully with my ...","","",""
"1588349359-6455","https://www.ulta.com/?cmpid=PS_Brand!google!Brand&CAWELAID=1831598544&CATRK=SPFID-1&CAAGID=540267060&CATCI=kwd-12627301&CAPCID=378070056430&CADevice=c&gclid=EAIaIQobChMIzc2WxeSR6QIVBO21Ch3oTAwiEAAYASAAEgLqovD_BwE","Makeup","https://www.ulta.com/makeup?N=26y1","Face","https://www.ulta.com/makeup-face?N=26y3","Boi-ing Industrial Strength Concealer ''The Original Full-Coverage Concealer''","https://www.ulta.com/boi-ing-industrial-strength-concealer-original-full-coverage-concealer?productId=xlsImpprod16251012","Benefit Cosmetics","Concealer (151)","https://www.ulta.com/makeup-face-concealer?N=26y6","Boi-ing Industrial Strength Concealer ''The Original Full-Coverage Concealer''","","","","","","","My dark circle must have been put there by the devil himself, because after reading all the great reviews about this product, I decided to buy it, and it doesn't work well for me.  :(
I love the way it applies so smoothly and I love the finish, but it doesn't hide my dark circles any better than my ..."
"1588348284-5339","https://www.ulta.com/?cmpid=PS_Brand!google!Brand&CAWELAID=1831598544&CATRK=SPFID-1&CAAGID=540267060&CATCI=kwd-12627301&CAPCID=378070056430&CADevice=c&gclid=EAIaIQobChMIzc2WxeSR6QIVBO21Ch3oTAwiEAAYASAAEgLqovD_BwE","Makeup","https://www.ulta.com/makeup?N=26y1","Face","https://www.ulta.com/makeup-face?N=26y3","ColorStay Concealer","https://www.ulta.com/colorstay-concealer?productId=xlsImpprod4960009","Revlon","Concealer (151)","https://www.ulta.com/makeup-face-concealer?N=26y6","ColorStay Concealer","Next
Page","https://www.ulta.com/makeup-face-concealer?N=26y6&No=96&Nrpp=96","","Overall, I like this concealer. It does work for both under eyes and blemishes, but I prefer it for blemishes and spots. I use the Revlon whipped creme makeup and I love it, for many reasons so I wanted to try the concealer to see if i would have good luck with that too.. (I wear the ""natural beige""...","","",""
"1588348025-5072","https://www.ulta.com/?cmpid=PS_Brand!google!Brand&CAWELAID=1831598544&CATRK=SPFID-1&CAAGID=540267060&CATCI=kwd-12627301&CAPCID=378070056430&CADevice=c&gclid=EAIaIQobChMIzc2WxeSR6QIVBO21Ch3oTAwiEAAYASAAEgLqovD_BwE","Makeup","https://www.ulta.com/makeup?N=26y1","Face","https://www.ulta.com/makeup-face?N=26y3","Active Light Under-Eye Concealer","https://www.ulta.com/active-light-under-eye-concealer?productId=pimprod2004114","jane iredale","Concealer (151)","https://www.ulta.com/makeup-face-concealer?N=26y6","Active Light Under-Eye Concealer","Next
Page","https://www.ulta.com/makeup-face-concealer?N=26y6&No=96&Nrpp=96","","I recently switched into Jane Iredale from Laura Mercier and I LOVE the products I've tried thus far. I do love this concealer (It's great at covering up my dark purple/blue under-eyes), however, I hate the tube it's in. It's almost like it keeps getting clogged up/dried out and won't come out, I th...","","",""
"1588349583-6744","https://www.ulta.com/?cmpid=PS_Brand!google!Brand&CAWELAID=1831598544&CATRK=SPFID-1&CAAGID=540267060&CATCI=kwd-12627301&CAPCID=378070056430&CADevice=c&gclid=EAIaIQobChMIzc2WxeSR6QIVBO21Ch3oTAwiEAAYASAAEgLqovD_BwE","Makeup","https://www.ulta.com/makeup?N=26y1","Face","https://www.ulta.com/makeup-face?N=26y3","Shape Tape Concealer","https://www.ulta.com/shape-tape-concealer?productId=xlsImpprod14251035","Tarte","Concealer (151)","https://www.ulta.com/makeup-face-concealer?N=26y6","Shape Tape Concealer","","","I wanted to love this; I really did. However, this concealer makes me look easily ten years older. I'm almost 40, and I have aging under my eyes. This accentuates every, single line and crevice. It's a beautiful product for young skin, but awful for anyone over 35!","","1","NOT for mature skin!",""
"1588347933-4993","https://www.ulta.com/?cmpid=PS_Brand!google!Brand&CAWELAID=1831598544&CATRK=SPFID-1&CAAGID=540267060&CATCI=kwd-12627301&CAPCID=378070056430&CADevice=c&gclid=EAIaIQobChMIzc2WxeSR6QIVBO21Ch3oTAwiEAAYASAAEgLqovD_BwE","Makeup","https://www.ulta.com/makeup?N=26y1","Face","https://www.ulta.com/makeup-face?N=26y3","Bio Brightener Cream Stick","https://www.ulta.com/bio-brightener-cream-stick?productId=pimprod2008562","W3LL PEOPLE","Concealer (151)","https://www.ulta.com/makeup-face-concealer?N=26y6","Bio Brightener Cream Stick","Next
Page","https://www.ulta.com/makeup-face-concealer?N=26y6&No=96&Nrpp=96","","One of the few clean foundations that I actually like, but still has some improvements to be had. It gives a light-medium buildable coverage that makes your skin glowy and radiant but doesn't overdo it. I have combo skin and this lasts pretty much your typical day without becoming greasy at the end ...","","",""
"1588348386-5462","https://www.ulta.com/?cmpid=PS_Brand!google!Brand&CAWELAID=1831598544&CATRK=SPFID-1&CAAGID=540267060&CATCI=kwd-12627301&CAPCID=378070056430&CADevice=c&gclid=EAIaIQobChMIzc2WxeSR6QIVBO21Ch3oTAwiEAAYASAAEgLqovD_BwE","Makeup","https://www.ulta.com/makeup?N=26y1","Face","https://www.ulta.com/makeup-face?N=26y3","Fast Base Concealer","https://www.ulta.com/fast-base-concealer?productId=pimprod2000263","Makeup Revolution","Concealer (151)","https://www.ulta.com/makeup-face-concealer?N=26y6","Fast Base Concealer","","","It didn't blow me away like E.L.F.'s 16 hour camo one did.  The staying power is meh.","","2","Not as impressive as their prior concealer.",""
"1588348738-5898","https://www.ulta.com/?cmpid=PS_Brand!google!Brand&CAWELAID=1831598544&CATRK=SPFID-1&CAAGID=540267060&CATCI=kwd-12627301&CAPCID=378070056430&CADevice=c&gclid=EAIaIQobChMIzc2WxeSR6QIVBO21Ch3oTAwiEAAYASAAEgLqovD_BwE","Makeup","https://www.ulta.com/makeup?N=26y1","Face","https://www.ulta.com/makeup-face?N=26y3","Eyelift In A Tube","https://www.ulta.com/eyelift-in-a-tube?productId=xlsImpprod6420040","It Cosmetics","Concealer (151)","https://www.ulta.com/makeup-face-concealer?N=26y6","Eyelift In A Tube","","","First concealer that actually worked. Also has a brightener. The two step process really conceded undereye dark circles.","","5","Love it and gave told friends about it.",""
"1588348159-5197","https://www.ulta.com/?cmpid=PS_Brand!google!Brand&CAWELAID=1831598544&CATRK=SPFID-1&CAAGID=540267060&CATCI=kwd-12627301&CAPCID=378070056430&CADevice=c&gclid=EAIaIQobChMIzc2WxeSR6QIVBO21Ch3oTAwiEAAYASAAEgLqovD_BwE","Makeup","https://www.ulta.com/makeup?N=26y1","Face","https://www.ulta.com/makeup-face?N=26y3","Circle\Delete Concealer","https://www.ulta.com/circledelete-concealer?productId=pimprod2004082","jane iredale","Concealer (151)","https://www.ulta.com/makeup-face-concealer?N=26y6","Circle\Delete Concealer","Next
Page","https://www.ulta.com/makeup-face-concealer?N=26y6&No=96&Nrpp=96","I've been using the Circle Delete concealer #2 for a few years now and it works great! I was surprised that the darker peach color is perfect for my very fair skin and conceals the darkness under my eyes really well. I hardly ever use the lighter color though and really, really wish it was available as a single color. I've tried the other concealers and prefer this one for texture, coverage, and color. Please consider offering the product as a single color with the peach!","","4","Great product! Wish the whole pot was the peach color.",""
"1588349433-6548","https://www.ulta.com/?cmpid=PS_Brand!google!Brand&CAWELAID=1831598544&CATRK=SPFID-1&CAAGID=540267060&CATCI=kwd-12627301&CAPCID=378070056430&CADevice=c&gclid=EAIaIQobChMIzc2WxeSR6QIVBO21Ch3oTAwiEAAYASAAEgLqovD_BwE","Makeup","https://www.ulta.com/makeup?N=26y1","Face","https://www.ulta.com/makeup-face?N=26y3","Under Eye Brightening Corrector","https://www.ulta.com/under-eye-brightening-corrector?productId=xlsImpprod11881009","BECCA Cosmetics","Concealer (151)","https://www.ulta.com/makeup-face-concealer?N=26y6","Under Eye Brightening Corrector","","","After repurchasing this product 4x now, I figured it was time to give it my stamp of approval. I have hereditary dark circles that no concealer could fix. I tried orangey and peachy correctors in the past that never brightened the way I wanted. Upon recommendation from a friend, I decided to give it a try. Ever since I've been hooked! I usually apply it with my ring finger or a small dense concealer brush. It doesn't provide much coverage, but it instantly brightens like you have no dark circles at all. I go over it with my regular concealer, set with powder, and I'm all done! This is so amazing and life changing. I will continue to repurchase. I've even got my mom using it for the past few months, and she loves it!","","5","a staple in my everyday makeup routine",""
"1588348609-5758","https://www.ulta.com/?cmpid=PS_Brand!google!Brand&CAWELAID=1831598544&CATRK=SPFID-1&CAAGID=540267060&CATCI=kwd-12627301&CAPCID=378070056430&CADevice=c&gclid=EAIaIQobChMIzc2WxeSR6QIVBO21Ch3oTAwiEAAYASAAEgLqovD_BwE","Makeup","https://www.ulta.com/makeup?N=26y1","Face","https://www.ulta.com/makeup-face?N=26y3","Flawless Fusion Ultra-Longwear Concealer","https://www.ulta.com/flawless-fusion-ultra-longwear-concealer?productId=pimprod2012431","Laura Mercier","Concealer (151)","https://www.ulta.com/makeup-face-concealer?N=26y6","Flawless Fusion Ultra-Longwear Concealer","","","I'm about to buy my third tube of this concealer, having completely finished two. That's saying a lot because I try new makeup all the time, and I have quite a few concealer options. It doesn't crease on me, and It suits my no longer 18 year old skin well. It's never made me look dry or anything, and it blends out with a damp sponge wonderfully.","","5","I'm so glad Ulta carries this now!!",""
"1588348242-5285","https://www.ulta.com/?cmpid=PS_Brand!google!Brand&CAWELAID=1831598544&CATRK=SPFID-1&CAAGID=540267060&CATCI=kwd-12627301&CAPCID=378070056430&CADevice=c&gclid=EAIaIQobChMIzc2WxeSR6QIVBO21Ch3oTAwiEAAYASAAEgLqovD_BwE","Makeup","https://www.ulta.com/makeup?N=26y1","Face","https://www.ulta.com/makeup-face?N=26y3","Authentik Skin Perfector Retouch Concealer","https://www.ulta.com/authentik-skin-perfector-retouch-concealer?productId=pimprod2013797","ZOEVA","Concealer (151)","https://www.ulta.com/makeup-face-concealer?N=26y6","Authentik Skin Perfector Retouch Concealer","Next
Page","https://www.ulta.com/makeup-face-concealer?N=26y6&No=96&Nrpp=96","This is the only concealer that I have ever used that looked flawless from application to the end of a 10 hour work day. It didn't crease, was so smooth, and it was so brightening while also being full coverage!","","5","Best concealer EVER",""
"1588348439-5530","https://www.ulta.com/?cmpid=PS_Brand!google!Brand&CAWELAID=1831598544&CATRK=SPFID-1&CAAGID=540267060&CATCI=kwd-12627301&CAPCID=378070056430&CADevice=c&gclid=EAIaIQobChMIzc2WxeSR6QIVBO21Ch3oTAwiEAAYASAAEgLqovD_BwE","Makeup","https://www.ulta.com/makeup?N=26y1","Face","https://www.ulta.com/makeup-face?N=26y3","Correct and Perfect All-In-One Color Correcting Palette","https://www.ulta.com/correct-perfect-all-in-one-color-correcting-palette?productId=xlsImpprod14021283","Stila","Concealer (151)","https://www.ulta.com/makeup-face-concealer?N=26y6","Correct and Perfect All-In-One Color Correcting Palette","","","I love this because you could just use this and your skin would look good","","5","This is useful",""
"1588348956-6190","https://www.ulta.com/?cmpid=PS_Brand!google!Brand&CAWELAID=1831598544&CATRK=SPFID-1&CAAGID=540267060&CATCI=kwd-12627301&CAPCID=378070056430&CADevice=c&gclid=EAIaIQobChMIzc2WxeSR6QIVBO21Ch3oTAwiEAAYASAAEgLqovD_BwE","Makeup","https://www.ulta.com/makeup?N=26y1","Face","https://www.ulta.com/makeup-face?N=26y3","Bye Bye Under Eye Concealing Pot","https://www.ulta.com/bye-bye-under-eye-concealing-pot?productId=xlsImpprod16411289","It Cosmetics","Concealer (151)","https://www.ulta.com/makeup-face-concealer?N=26y6","Bye Bye Under Eye Concealing Pot","","","I have terrible under eye bags but this stuff helps tremendously. This stuff also lasts a long time so definitely worth the price.","","5","I love this product",""
"1588348439-5539","https://www.ulta.com/?cmpid=PS_Brand!google!Brand&CAWELAID=1831598544&CATRK=SPFID-1&CAAGID=540267060&CATCI=kwd-12627301&CAPCID=378070056430&CADevice=c&gclid=EAIaIQobChMIzc2WxeSR6QIVBO21Ch3oTAwiEAAYASAAEgLqovD_BwE","Makeup","https://www.ulta.com/makeup?N=26y1","Face","https://www.ulta.com/makeup-face?N=26y3","Correct and Perfect All-In-One Color Correcting Palette","https://www.ulta.com/correct-perfect-all-in-one-color-correcting-palette?productId=xlsImpprod14021283","Stila","Concealer (151)","https://www.ulta.com/makeup-face-concealer?N=26y6","Correct and Perfect All-In-One Color Correcting Palette","","","","I am 46 and keeping wrinkles away pretty great, so far. But, genetics have given me DEEP set eyes with DARK under eye circles. I tried a LARGE variety of color correcting products because I have mild post-chemo discoloration all over, too. NOTHING LASTED OR WORKED WELL!!! But, STILA wemt on to my oi...","","",""
"1588348025-5069","https://www.ulta.com/?cmpid=PS_Brand!google!Brand&CAWELAID=1831598544&CATRK=SPFID-1&CAAGID=540267060&CATCI=kwd-12627301&CAPCID=378070056430&CADevice=c&gclid=EAIaIQobChMIzc2WxeSR6QIVBO21Ch3oTAwiEAAYASAAEgLqovD_BwE","Makeup","https://www.ulta.com/makeup?N=26y1","Face","https://www.ulta.com/makeup-face?N=26y3","Active Light Under-Eye Concealer","https://www.ulta.com/active-light-under-eye-concealer?productId=pimprod2004114","jane iredale","Concealer (151)","https://www.ulta.com/makeup-face-concealer?N=26y6","Active Light Under-Eye Concealer","Next
Page","https://www.ulta.com/makeup-face-concealer?N=26y6&No=96&Nrpp=96","I really love the peach color (#4) to cover dark circles. I think this works best when you layer with foundation.","","4","Great for dark circles",""
"1588348588-5726","https://www.ulta.com/?cmpid=PS_Brand!google!Brand&CAWELAID=1831598544&CATRK=SPFID-1&CAAGID=540267060&CATCI=kwd-12627301&CAPCID=378070056430&CADevice=c&gclid=EAIaIQobChMIzc2WxeSR6QIVBO21Ch3oTAwiEAAYASAAEgLqovD_BwE","Makeup","https://www.ulta.com/makeup?N=26y1","Face","https://www.ulta.com/makeup-face?N=26y3","Conceal & Hydrate Concealer","https://www.ulta.com/conceal-hydrate-concealer?productId=pimprod2008319","Makeup Revolution","Concealer (151)","https://www.ulta.com/makeup-face-concealer?N=26y6","Conceal & Hydrate Concealer","","","I bought this concealer on a whim as I'm always down to try new concealers, and I'm glad I did. I love my tarts shape tape concealer and I feel like this works just a good! It's very full coverage and doesn't dry out my skin!","","5","Love!!",""
"1588348386-5459","https://www.ulta.com/?cmpid=PS_Brand!google!Brand&CAWELAID=1831598544&CATRK=SPFID-1&CAAGID=540267060&CATCI=kwd-12627301&CAPCID=378070056430&CADevice=c&gclid=EAIaIQobChMIzc2WxeSR6QIVBO21Ch3oTAwiEAAYASAAEgLqovD_BwE","Makeup","https://www.ulta.com/makeup?N=26y1","Face","https://www.ulta.com/makeup-face?N=26y3","Fast Base Concealer","https://www.ulta.com/fast-base-concealer?productId=pimprod2000263","Makeup Revolution","Concealer (151)","https://www.ulta.com/makeup-face-concealer?N=26y6","Fast Base Concealer","","","not worth it. its like putting on water. MR's other concealers are amazing but this is garbage","","3","Cheap",""
"1588348883-6103","https://www.ulta.com/?cmpid=PS_Brand!google!Brand&CAWELAID=1831598544&CATRK=SPFID-1&CAAGID=540267060&CATCI=kwd-12627301&CAPCID=378070056430&CADevice=c&gclid=EAIaIQobChMIzc2WxeSR6QIVBO21Ch3oTAwiEAAYASAAEgLqovD_BwE","Makeup","https://www.ulta.com/makeup?N=26y1","Face","https://www.ulta.com/makeup-face?N=26y3","Color Correcting Liquid Concealer","https://www.ulta.com/color-correcting-liquid-concealer?productId=xlsImpprod15481119","ULTA","Concealer (151)","https://www.ulta.com/makeup-face-concealer?N=26y6","Color Correcting Liquid Concealer","","","","I am a transgendered woman going through  laser hair removal on my face. I have a slight bluish purple shadow in certain spots and this  does a Great job at concealing/ color correcting them. I'm also a professional makeup artist and have used this product on clients as well. For deeper skin tones y...","","",""
"1588348451-5555","https://www.ulta.com/?cmpid=PS_Brand!google!Brand&CAWELAID=1831598544&CATRK=SPFID-1&CAAGID=540267060&CATCI=kwd-12627301&CAPCID=378070056430&CADevice=c&gclid=EAIaIQobChMIzc2WxeSR6QIVBO21Ch3oTAwiEAAYASAAEgLqovD_BwE","Makeup","https://www.ulta.com/makeup?N=26y1","Face","https://www.ulta.com/makeup-face?N=26y3","Bio Correct Multi-Action Concealer","https://www.ulta.com/bio-correct-multi-action-concealer?productId=pimprod2008578","W3LL PEOPLE","Concealer (151)","https://www.ulta.com/makeup-face-concealer?N=26y6","Bio Correct Multi-Action Concealer","","","","","","","I love the ingredients and how W3LL People are bringing a higher standard to the industry- however this concealer is patchy. I have to use a ton of it but mostly I just try to combine it with my other concealer. Sad."
